,time,trip number,average trip duration
0,0,1216,7.717886513157895
1,1,487,8.46495550992471
2,2,198,8.336195286195286
3,3,328,10.221798780487804
4,4,1170,6.4950854700854705
5,5,4532,7.232833186231245
6,6,18886,8.552411839457799
7,7,63494,9.130061895612185
8,8,124119,8.8937150369135
9,9,85340,8.461201078040778
10,10,29700,8.232534792368126
11,11,23902,8.051417594064652
12,12,28590,8.029610003497726
13,13,25512,8.12965140587436
14,14,20106,8.254612221890646
15,15,29747,8.84223058907901
16,16,70871,8.918570595401034
17,17,110096,8.954854551179578
18,18,71641,8.833589936861108
19,19,32554,8.423322786754316
20,20,16737,8.33816593973432
21,21,10720,8.416071206467661
22,22,6597,8.28113283815876
23,23,3363,7.461106155218555
