,start_station_name,end_station_name,trip number
0,2nd at Folsom,2nd at South Park,253
1,2nd at Folsom,2nd at Townsend,572
2,2nd at Folsom,5th at Howard,116
3,2nd at Folsom,Beale at Market,136
4,2nd at Folsom,Broadway St at Battery St,48
5,2nd at Folsom,Civic Center BART (7th at Market),131
6,2nd at Folsom,Clay at Battery,390
7,2nd at Folsom,Commercial at Montgomery,204
8,2nd at Folsom,Davis at Jackson,75
9,2nd at Folsom,Embarcadero at Bryant,120
10,2nd at Folsom,Embarcadero at Folsom,209
11,2nd at Folsom,Embarcadero at Sansome,56
12,2nd at Folsom,Embarcadero at Vallejo,37
13,2nd at Folsom,Golden Gate at Polk,22
14,2nd at Folsom,Grant Avenue at Columbus Avenue,157
15,2nd at Folsom,Harry Bridges Plaza (Ferry Building),1097
16,2nd at Folsom,Howard at 2nd,222
17,2nd at Folsom,Market at 10th,259
18,2nd at Folsom,Market at 4th,204
19,2nd at Folsom,Market at Sansome,2016
20,2nd at Folsom,Mechanics Plaza (Market at Battery),92
21,2nd at Folsom,Post at Kearney,38
22,2nd at Folsom,Post at Kearny,73
23,2nd at Folsom,Powell Street BART,351
24,2nd at Folsom,Powell at Post (Union Square),97
25,2nd at Folsom,San Francisco Caltrain (Townsend at 4th),2381
26,2nd at Folsom,San Francisco Caltrain 2 (330 Townsend),1022
27,2nd at Folsom,San Francisco City Hall,40
28,2nd at Folsom,South Van Ness at Market,37
29,2nd at Folsom,Spear at Folsom,613
30,2nd at Folsom,Steuart at Market,290
31,2nd at Folsom,Temporary Transbay Terminal (Howard at Beale),817
32,2nd at Folsom,Townsend at 7th,397
33,2nd at Folsom,Washington at Kearney,25
34,2nd at Folsom,Washington at Kearny,255
35,2nd at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),76
36,2nd at South Park,2nd at Folsom,183
37,2nd at South Park,2nd at Townsend,261
38,2nd at South Park,5th at Howard,131
39,2nd at South Park,Beale at Market,117
40,2nd at South Park,Broadway St at Battery St,54
41,2nd at South Park,Civic Center BART (7th at Market),64
42,2nd at South Park,Clay at Battery,187
43,2nd at South Park,Commercial at Montgomery,118
44,2nd at South Park,Davis at Jackson,123
45,2nd at South Park,Embarcadero at Bryant,82
46,2nd at South Park,Embarcadero at Folsom,151
47,2nd at South Park,Embarcadero at Sansome,85
48,2nd at South Park,Embarcadero at Vallejo,363
49,2nd at South Park,Golden Gate at Polk,84
50,2nd at South Park,Grant Avenue at Columbus Avenue,159
51,2nd at South Park,Harry Bridges Plaza (Ferry Building),1430
52,2nd at South Park,Howard at 2nd,603
53,2nd at South Park,Market at 10th,192
54,2nd at South Park,Market at 4th,240
55,2nd at South Park,Market at Sansome,3679
56,2nd at South Park,Mechanics Plaza (Market at Battery),268
57,2nd at South Park,Post at Kearney,57
58,2nd at South Park,Post at Kearny,387
59,2nd at South Park,Powell Street BART,213
60,2nd at South Park,Powell at Post (Union Square),140
61,2nd at South Park,San Francisco Caltrain (Townsend at 4th),1729
62,2nd at South Park,San Francisco Caltrain 2 (330 Townsend),812
63,2nd at South Park,San Francisco City Hall,38
64,2nd at South Park,South Van Ness at Market,70
65,2nd at South Park,Spear at Folsom,200
66,2nd at South Park,Steuart at Market,487
67,2nd at South Park,Temporary Transbay Terminal (Howard at Beale),968
68,2nd at South Park,Townsend at 7th,454
69,2nd at South Park,Washington at Kearney,37
70,2nd at South Park,Washington at Kearny,185
71,2nd at South Park,Yerba Buena Center of the Arts (3rd @ Howard),172
72,2nd at Townsend,2nd at Folsom,461
73,2nd at Townsend,2nd at South Park,189
74,2nd at Townsend,5th St at Folsom St,1
75,2nd at Townsend,5th at Howard,102
76,2nd at Townsend,Beale at Market,345
77,2nd at Townsend,Broadway St at Battery St,329
78,2nd at Townsend,Civic Center BART (7th at Market),48
79,2nd at Townsend,Clay at Battery,521
80,2nd at Townsend,Commercial at Montgomery,240
81,2nd at Townsend,Davis at Jackson,811
82,2nd at Townsend,Embarcadero at Bryant,117
83,2nd at Townsend,Embarcadero at Folsom,965
84,2nd at Townsend,Embarcadero at Sansome,351
85,2nd at Townsend,Embarcadero at Vallejo,495
86,2nd at Townsend,Golden Gate at Polk,24
87,2nd at Townsend,Grant Avenue at Columbus Avenue,137
88,2nd at Townsend,Harry Bridges Plaza (Ferry Building),5032
89,2nd at Townsend,Howard at 2nd,941
90,2nd at Townsend,Market at 10th,72
91,2nd at Townsend,Market at 4th,368
92,2nd at Townsend,Market at Sansome,1832
93,2nd at Townsend,Mechanics Plaza (Market at Battery),529
94,2nd at Townsend,Post at Kearney,28
95,2nd at Townsend,Post at Kearny,179
96,2nd at Townsend,Powell Street BART,107
97,2nd at Townsend,Powell at Post (Union Square),86
98,2nd at Townsend,Redwood City Caltrain Station,1
99,2nd at Townsend,San Francisco Caltrain (Townsend at 4th),1461
100,2nd at Townsend,San Francisco Caltrain 2 (330 Townsend),357
101,2nd at Townsend,San Francisco City Hall,19
102,2nd at Townsend,South Van Ness at Market,66
103,2nd at Townsend,Spear at Folsom,688
104,2nd at Townsend,Steuart at Market,3287
105,2nd at Townsend,Temporary Transbay Terminal (Howard at Beale),1646
106,2nd at Townsend,Townsend at 7th,933
107,2nd at Townsend,Washington at Kearny,44
108,2nd at Townsend,Yerba Buena Center of the Arts (3rd @ Howard),174
109,5th S at E. San Salvador St,Japantown,1
110,5th S at E. San Salvador St,S. Market St at Park Ave,1
111,5th S at E. San Salvador St,San Jose Diridon Caltrain Station,2
112,5th St at E. San Salvador St,San Jose Diridon Caltrain Station,1
113,5th St at Folsom St,2nd at Folsom,1
114,5th St at Folsom St,2nd at Townsend,1
115,5th St at Folsom St,5th at Howard,1
116,5th St at Folsom St,Golden Gate at Polk,13
117,5th St at Folsom St,Grant Avenue at Columbus Avenue,1
118,5th St at Folsom St,Howard at 2nd,1
119,5th St at Folsom St,Market at 4th,16
120,5th St at Folsom St,Mechanics Plaza (Market at Battery),5
121,5th St at Folsom St,Post at Kearny,8
122,5th St at Folsom St,Powell Street BART,6
123,5th St at Folsom St,San Francisco Caltrain (Townsend at 4th),2
124,5th St at Folsom St,San Francisco Caltrain 2 (330 Townsend),8
125,5th St at Folsom St,San Francisco City Hall,2
126,5th St at Folsom St,South Van Ness at Market,2
127,5th St at Folsom St,Spear at Folsom,3
128,5th St at Folsom St,Washington at Kearny,1
129,5th St at Folsom St,Yerba Buena Center of the Arts (3rd @ Howard),1
130,5th at Howard,2nd at Folsom,87
131,5th at Howard,2nd at South Park,86
132,5th at Howard,2nd at Townsend,54
133,5th at Howard,Beale at Market,87
134,5th at Howard,Broadway St at Battery St,76
135,5th at Howard,Civic Center BART (7th at Market),243
136,5th at Howard,Clay at Battery,109
137,5th at Howard,Commercial at Montgomery,189
138,5th at Howard,Davis at Jackson,47
139,5th at Howard,Embarcadero at Bryant,24
140,5th at Howard,Embarcadero at Folsom,68
141,5th at Howard,Embarcadero at Sansome,129
142,5th at Howard,Embarcadero at Vallejo,68
143,5th at Howard,Golden Gate at Polk,103
144,5th at Howard,Grant Avenue at Columbus Avenue,34
145,5th at Howard,Harry Bridges Plaza (Ferry Building),434
146,5th at Howard,Howard at 2nd,102
147,5th at Howard,Market at 10th,278
148,5th at Howard,Market at 4th,332
149,5th at Howard,Market at Sansome,232
150,5th at Howard,Mechanics Plaza (Market at Battery),82
151,5th at Howard,Post at Kearney,17
