trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
1092841,1021,2016-02-14 05:25:00,Kaiser Hospital,26,2016-02-14 05:42:00,Mezes,83,246,94025,Subscriber
957659,587,2015-10-05 16:41:00,Sequoia Hospital,21,2015-10-05 16:51:00,Mezes,83,650,94063,Subscriber
1047069,1113,2015-12-25 13:17:00,San Mateo County Center,23,2015-12-25 13:35:00,Mezes,83,149,94063,Subscriber
984088,422,2015-10-24 14:20:00,Redwood City Public Library,24,2015-10-24 14:27:00,Mezes,83,121,94063,Subscriber
984411,536,2015-10-25 12:45:00,Redwood City Public Library,24,2015-10-25 12:54:00,Mezes,83,138,94063,Subscriber
984412,487,2015-10-25 12:45:00,Redwood City Public Library,24,2015-10-25 12:53:00,Mezes,83,686,94063,Subscriber
984087,451,2015-10-24 14:20:00,Redwood City Public Library,24,2015-10-24 14:27:00,Mezes,83,52,94063,Subscriber
1029835,301,2015-12-04 17:32:00,Redwood City Caltrain Station,22,2015-12-04 17:37:00,Mezes,83,155,94063,Subscriber
951818,206,2015-09-30 09:59:00,Redwood City Caltrain Station,22,2015-09-30 10:02:00,Mezes,83,175,94707,Subscriber
987584,325,2015-10-27 17:32:00,Redwood City Caltrain Station,22,2015-10-27 17:38:00,Mezes,83,52,94063,Subscriber
1009081,385,2015-11-13 17:09:00,Redwood City Caltrain Station,22,2015-11-13 17:15:00,Mezes,83,199,94063,Subscriber
1213934,285,2016-05-24 18:07:00,Redwood City Caltrain Station,22,2016-05-24 18:12:00,Mezes,83,91,94063,Subscriber
1130156,261,2016-03-18 20:49:00,Redwood City Caltrain Station,22,2016-03-18 20:53:00,Mezes,83,177,94063,Subscriber
1062796,294,2016-01-15 17:36:00,Redwood City Caltrain Station,22,2016-01-15 17:41:00,Mezes,83,246,94063,Subscriber
1121477,275,2016-03-10 18:08:00,Redwood City Caltrain Station,22,2016-03-10 18:13:00,Mezes,83,246,94063,Subscriber
1079608,293,2016-02-02 18:07:00,Redwood City Caltrain Station,22,2016-02-02 18:12:00,Mezes,83,690,94063,Subscriber
1014801,253,2015-11-18 18:07:00,Redwood City Caltrain Station,22,2015-11-18 18:11:00,Mezes,83,28,94063,Subscriber
952596,255,2015-09-30 19:07:00,Redwood City Caltrain Station,22,2015-09-30 19:11:00,Mezes,83,102,94063,Subscriber
1051301,428,2016-01-04 17:08:00,Redwood City Caltrain Station,22,2016-01-04 17:15:00,Mezes,83,185,94063,Subscriber
1007669,255,2015-11-12 18:11:00,Redwood City Caltrain Station,22,2015-11-12 18:15:00,Mezes,83,182,94063,Subscriber
1097908,341,2016-02-18 17:34:00,Redwood City Caltrain Station,22,2016-02-18 17:40:00,Mezes,83,127,94063,Subscriber
958062,242,2015-10-05 18:09:00,Redwood City Caltrain Station,22,2015-10-05 18:13:00,Mezes,83,102,94063,Subscriber
1025865,244,2015-12-01 18:10:00,Redwood City Caltrain Station,22,2015-12-01 18:14:00,Mezes,83,246,94063,Subscriber
1038812,256,2015-12-14 18:08:00,Redwood City Caltrain Station,22,2015-12-14 18:12:00,Mezes,83,84,94063,Subscriber
1212183,291,2016-05-23 17:31:00,Redwood City Caltrain Station,22,2016-05-23 17:36:00,Mezes,83,91,94063,Subscriber
1083533,315,2016-02-05 17:07:00,Redwood City Caltrain Station,22,2016-02-05 17:13:00,Mezes,83,174,94063,Subscriber
1120296,275,2016-03-09 17:34:00,Redwood City Caltrain Station,22,2016-03-09 17:39:00,Mezes,83,246,94063,Subscriber
